,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632525028,17,8,13,10,17,8,
632525029,17,11,13,14,17,2,
632525030,19,9,13,13,15,5,
632525031,13,4,11,14,10,4,
632525032,21,6,10,9,16,1,
632525033,17,13,12,11,8,4,
632525034,19,5,25,8,9,4,
632525035,18,13,20,20,10,5,
632525036,14,5,14,11,19,
632525037,14,5,10,15,5,4,
632525038,19,7,19,12,14,
632525039,26,6,14,12,17,5,
632525040,23,10,12,13,13,
632525041,9,3,9,13,9,3,
632525042,17,3,15,10,18,5,
632525043,15,9,21,7,11,3,
632525044,23,13,17,8,19,4,
632525045,18,6,14,15,15,2,
632525046,14,8,14,7,8,1,
632525047,11,11,10,13,13,1,
632525048,9,3,11,13,11,
632525049,16,4,16,11,10,4,
632525050,11,8,14,16,13,3,
632525051,17,3,17,7,10,2,
632525052,11,10,13,12,11,4,
632525053,27,9,8,17,10,6,
632525054,13,10,19,12,9,4,
632525055,14,8,13,6,13,4,
632525056,15,9,16,17,17,1,
632525057,18,7,12,9,14,6,
632525058,15,8,11,8,10,4,
632525059,16,4,15,14,12,3,
632525060,17,12,15,16,8,5,
632525061,16,12,18,7,12,4,
632525062,14,8,26,13,17,6,
632525063,12,9,18,7,9,4,
632525064,16,8,15,7,18,1,
632525065,16,9,17,18,18,3,
632525066,15,9,18,12,13,1,
632525067,15,7,14,8,11,5,
632525068,22,5,23,13,17,4,
632525069,21,12,11,20,9,7,
632525070,17,4,11,13,13,1,
632525071,11,5,17,10,14,3,
632525072,11,6,20,20,11,9,
632525073,11,12,15,17,12,7,
632525074,17,7,9,15,7,4,
632525075,16,8,11,17,20,3,
632525076,15,1,11,18,14,
632525077,16,9,14,16,8,6,
632525078,25,7,16,18,17,1,
632525079,18,7,21,10,15,2,
632525080,15,14,13,11,12,1,
632525081,16,8,18,10,13,2,
632525082,19,4,18,8,8,2,
632525083,24,13,18,16,17,2,
632525084,23,12,8,9,20,4,
632525085,18,7,12,8,11,7,
632525086,17,8,16,14,18,2,
632525087,12,7,11,14,12,6,
632525088,8,5,19,10,14,4,
632525089,17,8,17,17,7,
632525090,21,2,12,13,10,3,
632525091,12,6,12,8,10,3,
632525092,11,8,13,11,9,1,
632525093,15,6,13,9,16,5,
632525094,29,2,8,14,10,3,
632525095,16,4,19,13,16,5,
632525096,19,5,23,15,13,3,
632525097,17,14,9,15,16,2,
632525098,18,10,16,11,16,1,
632525099,16,11,8,11,14,4,
632525100,8,9,8,12,9,5,
632525101,16,8,19,16,11,8,
632525102,23,1,21,7,18,7,
632525103,15,3,7,16,12,
632525104,18,11,17,11,19,1,
632525105,10,7,18,7,10,2,
632525106,16,11,20,12,11,3,
632525107,14,6,23,7,14,6,
632525108,19,9,18,6,15,6,
632525109,13,8,16,8,10,6,
632525110,16,5,12,10,16,2,
632525111,29,6,19,17,10,3,
632525112,13,10,21,14,12,7,
632525113,7,8,6,10,16,6,
632525114,17,6,14,17,13,1,
632525115,15,8,16,18,18,1,
632525116,18,4,13,14,4,3,
632525117,9,7,18,10,15,1,
632525118,22,9,17,9,21,4,
632525119,11,9,17,9,8,8,
632525120,14,13,15,10,12,4,
632525121,15,4,18,13,11,4,
632525122,17,8,8,6,12,4,
632525123,11,7,12,10,8,5,
632525124,12,7,24,12,13,4,
632525125,12,10,14,22,11,3,
632525126,9,9,15,16,10,
632525127,21,13,16,10,17,3,
