,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632813226,0,1,
632813227,0,1,
632813228,
632813229,
632813230,
632813231,
632813232,
632813233,
632813234,
632813235,
632813236,
632813237,
632813238,
632813239,
632813240,
632813241,0,1,
632813242,0,1,
632813243,
632813244,
632813245,0,1,
632813246,0,1,
632813247,
632813248,1,
632813249,
632813250,0,1,
632813251,
632813252,
632813253,0,1,
632813254,
632813255,
632813256,0,0,1,
632813257,
632813258,
632813259,0,0,1,
632813260,
632813261,
632813262,
632813263,
632813264,
632813265,
632813266,
632813267,
632813268,
632813269,
632813270,
632813271,
632813272,
632813273,
632813274,
632813275,
632813276,
632813277,
632813278,0,0,1,
632813279,0,1,
632813280,
632813281,
632813282,
632813283,
632813284,
632813285,0,1,
632813286,0,1,
632813287,0,1,
632813288,
632813289,1,
632813290,0,2,
632813291,
632813292,
632813293,
632813294,0,1,
632813295,
632813296,1,
632813297,
632813298,
632813299,
632813300,
632813301,
632813302,2,
632813303,
632813304,
632813305,0,1,
632813306,2,
632813307,
632813308,0,1,
632813309,
632813310,0,0,1,
632813311,
632813312,
632813313,
632813314,0,0,1,
632813315,1,
632813316,0,1,
632813317,
632813318,
632813319,0,1,
632813320,
632813321,1,
632813322,2,
632813323,1,
632813324,
632813325,0,1,
632813326,
632813327,
632813328,
632813329,
632813330,1,1,
632813331,
632813332,0,1,
632813333,1,
632813334,0,1,
632813335,
632813336,0,1,
632813337,
632813338,0,1,
632813339,0,1,
632813340,0,1,
632813341,0,1,
632813342,
632813343,
632813344,
632813345,0,1,
632813346,0,1,
632813347,
632813348,1,
632813349,
632813350,
632813351,
632813352,0,1,
632813353,
632813354,
632813355,
632813356,0,1,
632813357,
632813358,
632813359,
632813360,
632813361,
632813362,
632813363,0,1,
632813364,
632813365,1,
632813366,
632813367,0,1,
632813368,
632813369,
632813370,0,1,
632813371,
632813372,
632813373,1,
632813374,
632813375,
632813376,
632813377,
632813378,
632813379,
632813380,
632813381,0,1,
632813382,
632813383,
632813384,
632813385,
632813386,
632813387,1,
632813388,
632813389,0,1,
632813390,
632813391,0,1,
632813392,0,0,1,
632813393,0,0,1,
632813394,
632813395,
632813396,
632813397,
632813398,0,1,
632813399,
632813400,
632813401,
632813402,
632813403,
632813404,1,
632813405,0,1,
632813406,0,1,
632813407,
632813408,2,
632813409,
632813410,
632813411,
632813412,
632813413,
632813414,
632813415,
632813416,0,2,
632813417,
632813418,
632813419,0,1,
632813420,
632813421,
632813422,0,1,
632813801,
632813802,
632813803,0,2,
632813804,
632813805,
632813806,
632813901,
632813903,
632813904,0,1,
632813914,1,
632813915,
632814101,0,1,
632814102,
632814103,
632814104,
632814105,
632814106,
632814107,
632814108,
632814109,0,1,
632814110,
632814111,
632814112,
632814201,
632814202,0,1,
632814203,
632814204,
632814205,2,
632814206,
632814207,
632814208,
632814209,
632814210,1,
632814211,0,1,
632814212,
632814213,
632814214,
632814215,
632814216,
632814217,
632814218,0,1,
632814219,0,1,
632814220,
632814221,1,
632814222,0,1,
632814223,
632814224,1,
632814225,
632814226,1,
632814227,
632814228,
632814229,0,1,
632814230,
632814231,
632814232,
632814233,
632814234,
632814235,
632814236,
632814237,
632814238,
632814239,
632814240,
632814241,
632814242,0,0,1,
632814243,0,1,
632814244,1,
632814245,
632814246,0,1,
632814247,
632814248,0,1,1,
632814249,
632814250,0,0,1,
632814251,
632814252,0,1,
632814253,
632814254,0,1,
632814255,
632814256,
632814257,
632814258,1,
632814259,
632814260,
632814261,
632814262,1,
632814263,2,
632814264,
632814265,0,0,1,
632814266,
632814267,0,0,1,
632814268,
632814269,
632814270,0,1,
632814271,
632814272,0,0,1,
632814273,
632814274,
632814275,1,
632814276,2,
632814277,
632814278,
632814279,
632814280,2,
632814281,
632814282,0,1,
632814283,0,1,
632814284,
632814285,
632814286,0,1,
632814287,
632814288,
632814289,
632814290,
632814291,1,
632814292,
632814293,
632814294,
632814295,
632814296,
632814297,
632814298,
632814299,
632814300,
632814301,1,
632814302,0,1,
632814303,
632814304,
632814305,
632814306,
632814307,
632814308,
632814309,0,2,1,
632814310,
632814311,
632814312,0,1,
632814313,
632814314,0,2,
632814315,0,1,
632814316,
632814317,
632814318,1,
632814319,1,
632814320,0,1,
632814321,
632814322,
632814323,
632814324,0,1,
632814325,
632814326,0,1,
632814327,
632814328,
632814329,
632814330,4,
632814331,0,1,
632814332,0,2,
632814333,
632814334,
632814335,
632814336,
632814337,0,1,
632814338,
632814339,0,2,
632814340,
632814341,0,1,
632814342,
632814343,
632814344,
632814345,
632814346,
632814347,
632814348,
632814349,1,
632814350,
632814351,
632814352,0,1,
632814353,0,1,
632814354,
632814355,
632814356,
632814357,
632814358,
632814359,0,1,
632814360,1,
632814361,
632814362,
632814363,
632814364,
632814365,
632814366,
632814367,
632814368,1,
632814369,0,0,1,
632814370,
632814371,
632814372,
632814373,0,1,
632814374,
632814375,
632814376,0,0,1,
632814377,
632814378,
632814379,
632814380,
632814381,1,
632814382,0,0,1,
632814383,
632814384,
632814385,0,1,
632814386,
632814387,
632814388,
632814389,
632814390,
632814391,0,1,
632814392,
632814393,
632814394,0,1,
632814395,0,1,
632814396,1,
632814397,
632814398,
632814399,
632814400,
632814401,
632814402,
632814403,0,1,
632814404,
632814405,
632814406,
632814407,
632814408,0,2,
632814409,
632814410,
632814411,
632814412,1,
632814413,
632814414,
632814415,
632814416,
632814417,
632814418,0,1,
632814419,
632814420,
632814421,
632814422,
632814423,
632814424,
632814425,
632814426,
632814427,
632814428,
632814429,
632814430,1,
632814431,
632814432,0,1,
632814433,
632814434,
632814435,
632814436,
632814437,
632814438,
632814439,
632814440,
632814441,
632814442,
632814443,0,1,
632814444,
632814445,
632814446,
632814447,
632814448,0,1,
632814449,
632814450,
632814451,
632814452,
632814453,
632814454,
632814455,
632814456,
632814457,1,
632814458,
632814459,
632814460,
632814461,
632814462,2,
632814463,
632814464,
632814465,
632814466,0,1,
632814467,
632814468,0,1,
632814469,
632814470,
632814471,
632814472,0,1,
632814473,
632814474,
632814475,
632814476,
632814477,
632814478,
632814479,
632814480,
632814481,
632814482,
632814483,1,
632814484,
632814485,
632814486,
632814487,
632814488,
632814489,
632814490,
632814491,
632814492,0,2,
632814493,
632814494,0,1,
632814495,
632814496,
632814497,
632814498,0,1,
632814499,0,2,
632814500,
632814501,0,1,
632814502,0,1,
632814503,
632814504,1,
632814505,
632814506,1,
632814507,
632814508,
632814509,
632814510,0,0,1,
632814511,
632814512,
632814513,
632814514,
632814515,
632814516,
632814517,
632814518,
632814519,0,1,
632814520,
632814521,
632814522,
632814523,
632814524,
632814525,
632814526,
632814527,
632814528,
632814529,
632814530,
632814531,
632814532,0,1,
632814533,2,
632814534,
632814535,
632814536,
632814537,
632814538,
632814539,1,
632814540,
632814541,0,1,
632814542,0,0,1,
632814543,0,1,
632814544,
632814545,
632814546,
632814547,
632814548,
632814549,
632814550,
632814551,
632814552,
632814553,
632814554,0,1,
632814555,0,1,
632814556,0,1,
632814557,
632814558,
632814559,
632814560,
632814561,
632814562,
632814563,0,1,
632814564,
632814565,0,1,
632814566,
632814567,
632814568,0,0,1,
632814569,
632814570,0,1,
632814571,1,
632814572,1,
632814573,
632814574,1,
632814575,0,1,
632814576,0,1,
632814577,
632814578,
632814579,
632814580,
632814581,
632814582,
632814583,0,1,
632814584,1,
632814585,
632814586,
632814587,
632814588,0,2,
632814589,
632814590,
632814591,0,1,
632814592,
632814593,
632814594,
632814595,1,
632814596,
632814597,
632814598,
632814801,0,1,
632814802,0,1,
632814803,
632814804,
632814805,
632814806,2,0,1,
632814807,
632814808,
632814809,
632814810,
632814811,
632814812,
632814901,
632814902,
632814903,
632814904,
632814905,
632814906,
632814907,0,1,
632814908,
632814909,
632814910,
632814911,
632815101,
632815102,
632815103,
632815104,
632815105,
632815106,
632815107,
632815108,1,
632815109,0,2,
632815110,
632815111,
632815112,0,2,
632815113,
632815114,
632815115,
632815116,
632815117,
632815118,
632815119,
632815120,0,1,
632815121,
632815122,
632815123,
632815124,
632815125,0,1,
632815126,
632815127,
632815128,
632815129,0,1,
632815130,
632815131,0,1,
632815132,
632815133,1,
632815134,0,2,
632815135,
632815136,
632815137,0,1,
632815138,
632815139,
632815140,
632815141,0,2,
632815142,
632815143,0,1,
632815144,
632815145,
632815146,
632815147,0,1,
632815148,0,2,
632815149,
632815150,0,2,
632815151,
632815152,
632815153,
632815154,
632815155,
632815156,
632815157,
632815158,
632815159,1,
632815160,
632815161,
632815162,
632815163,0,1,
632815164,
632815165,
632815166,0,1,
632815167,
632815168,0,2,
632815169,
632815170,
632815171,0,1,
632815172,
632815173,
632815174,
632815175,
632815176,0,2,
632815177,
632815178,0,1,
632815179,
632815180,
632815181,
632815182,0,1,
632815183,1,
632815184,1,
632815185,
632815186,
632815187,
632815188,
632815189,
632815190,
632815191,0,1,
632815192,0,1,
632815193,0,1,
632815194,
632815195,
632815196,
632815197,
632815198,0,2,
632815199,
632815200,
632815201,
632815202,
632815203,1,
632815204,
632815205,1,
632815206,
632815207,0,1,
632815208,
632815209,
632815210,1,
632815211,0,0,1,
632815212,0,2,
632815213,0,1,
632815214,
632815215,
632815216,
632815217,1,
632815218,
632815219,
632815220,
632815221,
632815222,
632815223,0,1,
632815224,0,1,
632815225,0,1,
632815226,
632815227,
632815228,1,
632815229,0,2,
632815230,
632815231,
632815232,
632815233,
632815234,0,0,1,
632815235,0,1,
632815236,
632815237,
632815238,0,0,1,
632815239,
632815240,
632815241,
632815242,
632815243,0,1,
632815244,
632815245,
632815246,
632815247,
632815248,
632815249,
632815250,
632815251,
632815252,
632815253,0,1,
632815254,
632815255,
632815256,
632815257,
632815258,
632815259,
632815260,
632815261,
632815262,
632815263,
632815264,1,
632815265,
632815266,
632815267,0,0,1,
632815268,0,1,
632815269,
632815270,0,2,
632815271,0,2,
632815272,
632815273,
632815274,0,1,
632815275,
632815276,0,0,1,
632815277,
632815278,0,1,
632815279,
632815280,
632815281,
632815282,
632815283,
632815284,
632815285,
632815286,0,1,
632815287,
632815288,
632815289,
632815290,
632815291,0,1,
632815292,
632815293,
632815294,0,2,
632815295,0,1,
632815296,
632815297,0,1,
632815298,
632815299,
632815300,
632815301,0,1,
632815302,
632815303,
632815304,
