,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,2,0,0,0,0,4,3,5,1,6,6,5,4,1,
632523160,2,0,0,0,0,5,5,4,5,1,5,8,8,
632523161,1,1,0,0,0,0,8,8,2,5,2,4,3,
632523162,3,0,0,0,0,5,3,3,3,4,5,9,5,
632523163,1,0,0,0,0,2,6,5,5,3,3,2,4,
632523164,0,0,0,0,0,2,1,2,7,3,3,5,2,
632523165,3,0,0,0,1,1,5,3,3,4,3,6,8,
632523166,0,0,0,0,0,3,4,5,3,5,2,5,4,
632523167,3,0,0,0,1,3,4,2,8,3,3,9,3,
632523168,1,0,0,0,0,4,6,1,8,2,3,3,5,
632523169,2,0,0,0,0,3,5,1,9,3,5,10,1,
632523170,2,0,0,0,0,0,4,4,5,2,3,5,1,
632523171,3,0,0,0,1,1,0,3,6,5,5,3,3,1,
632523172,0,0,0,0,0,5,3,2,6,6,5,2,4,
632523173,4,0,0,0,0,7,2,5,5,2,3,4,4,
632523174,2,0,0,0,0,1,3,5,0,5,0,5,5,
632523175,1,0,0,0,0,3,2,3,5,1,6,10,3,
632523176,3,1,0,0,0,0,4,1,8,4,3,5,7,
632523177,4,0,0,0,0,2,8,4,8,2,5,4,2,
632523178,2,0,0,0,0,1,6,7,6,4,6,6,5,
632523179,1,0,0,0,0,6,4,6,4,2,5,5,4,
632523180,5,0,0,0,0,0,3,4,5,6,3,9,4,
632523181,3,0,0,0,0,1,4,4,6,3,7,11,4,
632523182,0,0,0,2,2,0,2,7,1,5,1,6,5,
632523183,2,0,0,0,0,4,3,3,7,1,4,4,9,
632523184,2,0,0,1,0,1,4,2,5,8,2,10,5,
632523185,5,0,0,0,0,1,5,3,6,6,4,5,2,
632523186,2,0,0,0,0,5,6,1,8,4,4,4,2,
632523187,1,0,0,0,0,4,5,3,10,1,1,7,9,
632523188,1,0,0,0,2,2,7,6,5,4,5,2,1,
632523189,3,1,0,0,0,5,1,3,8,10,3,5,4,1,
632523190,5,0,0,0,0,8,2,6,4,6,3,3,2,
632523191,1,0,0,0,0,4,0,6,3,2,5,3,5,
632523192,6,0,0,0,0,4,5,5,2,1,5,4,3,
632523193,2,1,0,0,0,2,4,2,3,3,3,8,5,
632523194,5,0,0,0,0,3,5,9,5,4,3,7,7,
