,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102513,7,10,8,6,8,3,2,
630102601,4,7,3,12,6,13,4,
630102701,8,9,12,5,12,4,4,
630102702,6,8,1,9,3,4,1,
630102703,8,5,8,6,11,7,7,
630102704,9,10,7,5,4,10,1,
630102705,8,6,1,9,8,0,2,
630102706,9,15,3,16,8,10,3,
630102707,3,8,2,8,12,5,4,
630102708,5,10,6,3,8,15,
630102709,8,6,4,11,2,13,5,
630102710,6,12,6,6,9,8,3,
630102901,3,8,8,4,10,10,1,
632523101,7,8,3,10,13,2,5,
632523102,8,6,8,2,7,10,4,
632523103,4,6,1,9,8,7,3,
632523104,6,13,7,5,9,7,
632523105,5,6,4,7,3,10,2,
632523106,11,11,3,4,2,9,2,
632523107,5,8,5,6,10,5,1,
632523108,3,3,7,14,6,4,2,
632523109,6,7,2,10,1,9,1,
632523110,1,11,1,2,10,9,4,
632523111,4,8,1,9,8,9,1,
632523112,7,6,5,3,7,6,5,
632523113,5,9,9,6,8,2,1,
632523114,5,6,5,9,4,3,5,
632523115,6,8,4,1,7,8,
632523116,8,12,9,3,6,3,1,
632523117,7,9,6,7,11,6,2,
632523118,8,3,5,4,6,5,1,
632523119,6,8,5,8,8,9,2,
632523120,8,12,0,6,11,6,1,
632523121,7,7,7,6,11,1,3,
632523122,9,10,0,6,9,3,6,
632523123,4,5,6,2,3,4,2,
632523124,8,4,4,9,4,6,1,
632523125,3,9,5,7,8,12,1,
632523126,2,15,4,8,11,5,1,
632523127,6,10,4,3,4,6,4,
632523128,6,6,4,2,3,11,2,
632523129,3,6,4,8,6,14,0,1,
632523130,6,4,6,6,6,9,3,
632523131,9,11,5,7,8,8,1,
632523132,9,8,7,4,3,10,
632523133,9,14,7,8,6,9,1,
632523134,11,6,1,5,9,12,0,1,
632523135,4,5,2,9,7,6,
632523136,4,5,8,7,6,8,1,
632523137,8,1,5,8,5,5,2,
632523138,8,5,8,4,5,15,3,
632523139,4,9,6,2,11,10,1,
632523140,5,14,5,6,4,6,3,
632523141,4,0,5,10,6,5,1,
632523142,7,9,2,2,6,5,
632523143,9,6,2,8,10,5,6,
632523144,5,5,6,14,11,7,
632523145,3,7,12,5,6,8,
632523146,5,16,3,5,6,4,2,
632523147,6,7,5,2,9,9,4,
632523148,4,9,5,7,7,2,5,
632523149,3,6,3,9,7,12,1,
632523150,5,9,8,7,10,9,3,
632523151,3,9,9,5,3,7,1,
632523152,7,10,5,2,7,5,4,
632523153,6,8,3,4,8,10,
632523154,5,8,5,12,11,5,2,
632523155,7,8,1,10,6,5,3,
632523156,5,10,3,2,8,7,3,
632523157,3,9,3,10,7,5,1,
632523158,7,12,5,6,6,5,2,
632523159,8,6,6,5,9,7,1,
632523160,8,6,3,6,7,4,1,
632523161,9,6,7,5,7,8,1,
632523162,5,5,2,4,6,4,
632523163,5,4,7,8,7,6,1,
632523164,4,6,4,8,4,9,
632523165,5,10,7,4,8,12,6,
632523166,3,8,7,4,6,9,1,
632523167,8,14,2,7,7,8,3,
632523168,11,11,4,6,7,1,1,
632523169,7,9,1,7,10,9,2,
632523170,4,3,9,9,8,16,
632523171,5,6,8,3,7,9,2,1,
632523172,7,5,4,5,7,6,3,
632523173,8,10,6,3,8,8,3,
632523174,4,6,6,11,10,7,2,
632523175,9,5,2,4,8,8,5,1,
632523176,6,7,6,4,8,6,6,
632523177,7,11,3,6,13,8,5,
632523178,5,3,3,3,7,10,3,
632523179,8,8,6,10,12,4,2,
632523180,6,10,3,6,9,4,3,1,
632523181,5,8,3,3,11,11,3,
632523182,6,10,5,2,13,12,2,
632523183,5,8,7,4,1,7,3,
632523184,5,4,7,4,1,3,1,
632523185,11,15,2,8,14,4,2,
632523186,4,4,6,9,10,4,4,
632523187,8,9,2,7,9,15,
632523188,8,6,6,5,8,7,1,
632523189,3,8,8,6,6,5,1,1,
632523190,4,9,3,5,7,17,2,
632523191,5,4,6,6,7,3,2,
632523192,3,6,6,6,5,6,1,
632523193,4,9,6,12,8,5,1,
632523194,2,7,1,8,12,4,2,
632523195,3,13,6,4,6,7,1,
632523196,8,7,7,5,5,5,
632523197,3,7,0,5,11,4,
632523198,6,11,5,4,5,9,2,
632523199,7,1,3,5,9,9,1,
632523200,3,7,4,7,6,5,1,
632523201,6,3,4,4,6,5,1,
632523202,8,10,6,11,4,9,2,
632523203,7,4,4,12,5,3,
632523204,6,5,1,11,9,8,1,
632523205,2,7,2,1,5,9,3,
632523206,0,13,5,8,6,5,2,
632523207,4,6,8,5,3,4,2,1,
632523208,8,8,6,2,10,9,2,
632523209,5,9,4,3,8,8,
632523210,2,7,4,14,10,4,2,
632523211,5,7,4,7,8,2,5,
632523212,12,7,6,3,14,8,
632523213,8,10,4,12,4,5,4,1,
632523214,7,6,2,2,9,2,1,
632523215,6,7,6,13,7,10,
632523216,4,10,4,7,6,12,2,
632523217,6,9,7,8,5,3,1,
632523218,7,6,7,4,4,8,2,
632523219,4,12,4,6,6,5,3,
632523220,7,3,6,5,6,5,3,
632523221,2,5,3,7,4,8,
632523222,4,6,3,5,6,12,1,
632523223,5,6,9,4,8,5,1,
632523224,4,6,5,2,5,5,1,
632523225,7,6,4,8,8,7,
632523226,5,5,3,7,7,7,5,
632523227,4,8,5,11,2,7,2,
632523228,4,6,3,6,7,6,1,
632523229,8,8,3,4,8,7,1,
632523230,5,11,6,8,7,4,2,
632523231,7,5,3,2,7,7,3,
632523232,3,8,10,1,10,6,3,
632523233,5,8,8,6,3,8,1,
632523234,5,9,6,5,10,8,
632523235,6,5,2,6,8,4,3,
632523236,5,11,3,7,8,8,6,
632523237,6,3,4,3,10,3,8,
632523238,5,11,5,6,5,13,3,1,
632523239,6,8,5,8,7,6,3,
632523240,7,10,7,6,6,4,4,
632523241,3,10,10,2,5,6,4,
632523242,6,6,2,8,15,4,
