,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632524253,0,16,33,6,
632524254,0,17,41,3,
632524255,0,14,56,10,
632524256,0,24,31,10,
632524257,0,26,50,7,
632524258,0,13,45,12,
632524259,1,16,38,8,
632524260,0,18,36,8,
632524261,0,26,33,6,
632524262,0,12,49,2,
632524263,3,24,37,8,
632524264,2,25,37,5,
632524501,0,23,32,4,
632524502,0,12,26,3,
632524503,0,9,43,7,
632524504,0,14,44,6,
632524505,0,17,49,5,
632524506,0,12,48,9,
632524507,0,24,28,8,
632524508,0,18,31,9,
632524509,0,7,55,9,
632524510,0,15,46,7,
632524601,0,15,40,8,
632524602,0,9,38,14,
632524603,0,18,42,12,
632524604,2,24,40,5,
632524605,0,23,29,8,
632524801,0,26,42,5,
632524901,0,13,44,6,
632525001,1,13,39,6,
632525002,3,13,34,4,
632525003,3,24,40,5,
632525004,0,14,21,2,
632525005,2,8,34,5,
632525006,2,28,21,2,
632525007,1,21,27,6,
632525008,6,18,37,3,
632525009,1,21,33,7,
632525010,5,18,28,6,
632525011,1,25,27,3,
632525012,1,29,36,3,
632525013,3,23,22,1,
632525014,2,19,33,3,
632525015,5,11,41,4,
632525016,3,14,40,2,
632525017,2,16,30,6,
632525018,3,18,23,6,
632525019,2,23,24,3,
632525020,3,19,25,5,
632525021,8,16,35,1,
632525022,0,23,34,2,
632525023,4,12,34,8,
632525024,0,22,32,
632525025,5,15,36,5,
632525026,6,20,40,3,
632525027,2,14,28,2,
632525028,2,12,19,4,
632525029,5,9,34,6,
632525030,5,17,20,6,
632525031,1,17,27,3,
632525032,3,27,23,8,
632525033,1,26,35,6,
632525034,2,17,29,8,
632525035,4,11,36,6,
632525036,4,28,20,5,
632525037,4,15,21,2,
632525038,3,17,35,3,
632525039,2,23,36,2,
632525040,4,23,31,5,
632525041,2,18,32,6,
632525042,2,22,44,6,
632525043,3,14,38,3,
632525044,3,11,33,7,
632525045,0,31,38,7,
632525046,0,27,38,7,
632525047,0,13,29,9,
632525048,0,26,34,7,
632525049,0,21,49,8,
632525050,0,14,30,6,
632525051,0,15,39,10,
632525052,0,25,38,5,
632525053,0,12,33,8,
632525054,0,17,40,12,
632525055,0,15,45,7,
632525056,0,16,41,10,
632525057,0,11,52,9,
632525058,0,15,30,9,
632525059,0,11,47,8,
